EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Time
639	2	1	0	0	4	1	0	3.32588	
668	1	1	0	0	4	1	0	3.31737	
669	1	1	214.358	0	2	1	0	3.32371	
669	2	1	272.698	0	2	1	0	3.34468	
669	3	1	0	0	4	1	0	3.34799	
677	1	1	0	0	4	1	0	3.32776	
680	1	1	0	0	4	1	0	3.32999	
685	1	1	0	0	4	1	0	3.31608	
686	1	1	0	0	4	1	0	3.32829	
687	1	1	0	0	4	1	0	3.31795	
688	1	1	0	0	4	1	0	3.31641	
690	1	1	0	0	4	1	0	3.32598	
701	1	1	0	0	4	1	0	3.32526	
702	1	1	320.736	0	2	1	0	3.32328	
702	2	1	0	0	4	1	0	3.34609	
705	1	1	229.305	0	2	10	0	3.33056	
705	2	1	0	0	4	1	0	3.33096	
711	1	1	0	0	4	1	0	3.337	
721	1	1	0	0	4	1	0	3.31963	
728	1	1	0	0	4	1	0	3.31908	
730	1	1	34.5902	0	2	10	0	3.32425	
730	2	1	0	0	4	10	0	3.32604	
749	1	1	0	0	4	1	0	3.33188	
763	1	1	0	0	4	1	0	3.3174	
764	1	1	0	0	4	10	0	3.32628	
771	1	1	0	0	4	1	0	3.32349	
778	1	1	0	0	4	1	0	3.31767	
780	1	1	0	0	4	1	0	3.32289	
785	1	1	0	0	4	1	0	3.32392	
796	1	1	0	0	4	1	0	3.31165	
807	1	1	110.681	0	2	10	0	3.3182	
807	2	1	0	0	4	1	0	3.32156	
819	1	1	82.5528	0	2	10	0	3.31581	
819	2	1	0	0	4	10	0	3.32054	
830	1	1	0	0	4	1	0	3.32309	
842	1	1	0	0	4	10	0	3.33443	
845	1	1	0	0	4	1	0	3.33555	
860	1	1	0	0	4	1	0	3.3198	
869	1	1	0	0	4	1	0	3.3328	
870	1	1	0	0	4	1	0	3.31901	
882	1	1	0	0	4	1	0	3.32243	
889	1	1	0	0	4	10	0	3.32162	
894	1	1	0	0	4	1	0	3.31621	
895	1	1	0	0	4	1	0	3.34184	
912	1	1	0	0	4	1	0	3.32999	
913	1	1	0	0	4	1	0	3.32711	
918	1	1	0	0	4	1	0	3.32579	
921	1	1	0	0	4	1	0	3.33078	
934	1	1	9.30143	0	2	1	0	3.32764	
934	2	1	0	0	4	1	0	3.34106	
938	1	1	0	0	3	1	0	3.32797	
938	2	1	0	0	4	1	0	3.33276	
939	1	1	0	0	4	10	0	3.32923	
947	1	1	0	0	4	1	0	3.31238	
